poverty_group,cells,population,mean_distance_m,mean_facilities_1km
Lowest poverty,433,276604.5,158.16396376905965,98.3152804816986
Low-medium,433,433762.5,112.77263248995469,117.00140629953027
Middle,433,461156,106.70274465328396,132.8595388545308
High-medium,433,455218.5,121.36750370320382,129.65874080249375
Highest poverty,432,426419.5,154.31712841405985,74.24093644873183
